posting_id,URL,first_seen,last_processed,title_id,company_id,location_id,city_id,country_id,search_pos_id,job_level_id,onsite_flag_id
1077080,https://www.linkedin.com/jobs/view/partner-attorney-of-counsel-data-privacy-cyber-security-at-jobot-3804047358,1/14/2024,09:34.5,5886,156,""Albany,",475,1,355,1,"1"
1077247,https://www.linkedin.com/jobs/view/manager-data-loss-prevention-dlp-engineer-symantec-at-jobs-for-humanity-3804059354,1/14/2024,41:13.6,65,1,""Napervi",175,1,4,1,"1"
1079582,https://www.linkedin.com/jobs/view/mlt-and-medical-technologist-opportunities-in-oklahoma-city-at-mercy-3651870317,1/12/2024,45:09.2,1804,204,""Oklahom",139,1,23,1,"1"
1079892,https://www.linkedin.com/jobs/view/data-engineer-at-parallel-consulting-3801437077,1/13/2024,45:09.2,71,1960,""New Yor",129,1,6,1,"1"
1080079,https://www.linkedin.com/jobs/view/senior-lead-software-engineer-data-modernization-at-clickjobs-io-3806061602,1/14/2024,47:51.7,5922,60,""Worthin",382,1,121,1,"1"
1080330,https://uk.linkedin.com/jobs/view/location-coordinator-in-cramlington-uk-at-energy-jobline-3793618026,1/15/2024,17:27.4,987,13,""Cramlin",520,2,272,1,"1"
1080451,https://uk.linkedin.com/jobs/view/mechanical-project-manager-data-centre-at-james-lewis-recruitment-3802181595,1/14/2024,44:18.3,4227,3026,""Slough,",315,2,207,1,"1"
1081710,https://www.linkedin.com/jobs/view/principal-associate-data-loss-prevention-dlp-engineer-at-jobs-for-humanity-3804053881,1/13/2024,45:09.2,8,1,""Provide",533,1,17,1,"1"
1081713,https://www.linkedin.com/jobs/view/sr-workforce-management-data-analyst-at-wisemen-multimedia-llc-3756883410,1/13/2024,15:01.6,11,9,""Atlanta",11,1,10,1,"1"
1081742,https://www.linkedin.com/jobs/view/database-engineer-at-advanced-knowledge-tech-llc-3673946387,1/13/2024,45:09.2,96,2310,""Plano, ",44,1,27,1,"1"
1082043,https://uk.linkedin.com/jobs/view/data-architecture-manager-at-north-wales-police-3803885989,1/17/2024,24:12.0,5643,3626,""Saint A",607,2,80,1,"1"
1082935,https://www.linkedin.com/jobs/view/information-technology-data-center-technician-senior-at-mclaren-health-care-3797763761,1/12/2024,45:09.2,1664,111,"Greater ",586,1,88,1,"1"
1083042,https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-series-a-at-recruiting-from-scratch-3744396502,1/16/2024,43:02.4,80,12,""Boulder",172,1,68,1,"1"
1083413,https://www.linkedin.com/jobs/view/lead-software-engineer-data-analytics-at-clickjobs-io-3806062676,1/14/2024,47:50.3,668,60,""Upper A",382,1,5,1,"1"
1084686,https://www.linkedin.com/jobs/view/data-analytics-insights-manager-hybrid-at-equitable-3744941765,1/13/2024,45:09.2,1231,981,""Syracus",232,1,372,1,"1"
1084992,https://www.linkedin.com/jobs/view/lead-data-analyst-at-infosys-3785763212,1/13/2024,45:09.2,167,77,""Dallas,",44,1,17,1,"1"
1085096,https://www.linkedin.com/jobs/view/principal-sr-principal-digital-innovation-data-scientist-11741-at-northrop-grumman-3795914061,1/12/2024,45:09.2,3080,402,""Roy, UT",438,1,23,1,"1"
1085108,https://ca.linkedin.com/jobs/view/senior-data-solutions-architect-hybrid-providence-health-care-at-bcjobs-3801883681,1/13/2024,45:09.2,4327,1887,""Vancouv",195,3,98,1,"1"
1085607,https://www.linkedin.com/jobs/view/database-administrator-iii-at-mantech-3792952385,1/14/2024,28:41.0,316,93,""Herndon",128,1,99,1,"1"
1086506,https://www.linkedin.com/jobs/view/senior-data-engineer-at-jobs-for-humanity-3789237901,1/14/2024,19:45.6,6,1,""Paris, ",34,1,42,1,"1"
1086884,https://www.linkedin.com/jobs/view/employee-data-support-specialist-at-software-people-inc-3742332009,1/15/2024,26:08.8,5811,1334,""Jackson",597,1,238,2,"1"
1087659,https://uk.linkedin.com/jobs/view/principal-enterprise-architect-applications-data-at-oxford-nanopore-technologies-3716355261,1/12/2024,57:50.6,249,228,""Oxford,",204,2,4,1,"1"
1088249,https://www.linkedin.com/jobs/view/senior-datacenter-product-development-engineer-ras-sme-at-nvidia-3766472313,1/14/2024,19:45.1,386,166,""Hillsbo",301,1,1,1,"1"
